company_id,cluster_id,cluster_name,distance_from_centroid
ABB,0,High-Quality Compounders,0.4818953032505914
ADANIENSOL,0,High-Quality Compounders,1.3485128908074573
ADANIENT,4,Emerging Growth,1.669787257296627
ADANIGREEN,2,Value Cyclicals,2.628803739351071
ADANIPORTS,1,Defensive Dividend Payers,1.203689242545213
ADANIPOWER,0,High-Quality Compounders,0.9052275668677898
AMBUJACEM,0,High-Quality Compounders,0.9554542547418325
APOLLOHOSP,0,High-Quality Compounders,1.2321407210001325
ASIANPAINT,0,High-Quality Compounders,0.45498006334181507
ATGL,0,High-Quality Compounders,1.4744513585913832
AXISBANK,2,Value Cyclicals,0.8850670196753835
BAJAJ-AUTO,0,High-Quality Compounders,0.47584217926957456
BAJAJFINSV,2,Value Cyclicals,1.178545732473083
BAJAJHLDNG,1,Defensive Dividend Payers,2.5079175736404813
BAJFINANCE,2,Value Cyclicals,1.6157212966748786
BANKBARODA,2,Value Cyclicals,2.5501850726915176
BEL,3,Distressed or Turnaround,0.7967929575300912
BHARTIARTL,1,Defensive Dividend Payers,1.681408887329302
BHEL,0,High-Quality Compounders,2.832591759031254
BOSCHLTD,0,High-Quality Compounders,0.7132674617176494
BPCL,0,High-Quality Compounders,0.7791957899033563
BRITANNIA,0,High-Quality Compounders,0.3172095381024804
CANBK,2,Value Cyclicals,3.5664057122798227
CHOLAFIN,2,Value Cyclicals,0.9705955873029759
CIPLA,1,Defensive Dividend Payers,0.8143723623154224
COALINDIA,1,Defensive Dividend Payers,1.0965165227863307
DABUR,0,High-Quality Compounders,0.6363104661669744
DIVISLAB,0,High-Quality Compounders,0.6308224283628854
DLF,0,High-Quality Compounders,2.234239235555746
DMART,0,High-Quality Compounders,1.4650429488163295
DRREDDY,0,High-Quality Compounders,0.614087349823911
EICHERMOT,0,High-Quality Compounders,0.2853374443387259
GAIL,0,High-Quality Compounders,0.4776975764574594
GODREJCP,0,High-Quality Compounders,0.6249818452527683
GRASIM,0,High-Quality Compounders,0.8197584620194156
HAL,3,Distressed or Turnaround,0.7967929575300903
HAVELLS,0,High-Quality Compounders,0.5562345773417133
HCLTECH,0,High-Quality Compounders,0.37987022200228476
HDFCBANK,2,Value Cyclicals,0.8358018920556235
HDFCLIFE,1,Defensive Dividend Payers,1.3484844149897128
HEROMOTOCO,1,Defensive Dividend Payers,1.7283705812722863
HINDALCO,1,Defensive Dividend Payers,0.5153931434603118
HINDUNILVR,1,Defensive Dividend Payers,0.7296408924373013
ICICIBANK,2,Value Cyclicals,1.127848892862721
ICICIGI,1,Defensive Dividend Payers,0.43695673239791594
ICICIPRULI,1,Defensive Dividend Payers,1.3368025035035227
INDIGO,4,Emerging Growth,3.1345332706113394
INDUSINDBK,2,Value Cyclicals,0.9229917808876119
INFY,0,High-Quality Compounders,0.3930968938145437
IOC,0,High-Quality Compounders,0.6432429944925636
IRCTC,0,High-Quality Compounders,1.3233239181460137
IRFC,2,Value Cyclicals,2.006145472449039
ITC,0,High-Quality Compounders,0.7656592762091388
JINDALSTEL,0,High-Quality Compounders,1.295262166739053
JIOFIN,1,Defensive Dividend Payers,0.7611185525776414
JSWENERGY,0,High-Quality Compounders,1.3496554396360807
JSWSTEEL,0,High-Quality Compounders,0.848169841318596
KOTAKBANK,1,Defensive Dividend Payers,1.056416990357827
LICI,4,Emerging Growth,1.6659331656432939
LODHA,0,High-Quality Compounders,2.01153769394942
LT,0,High-Quality Compounders,0.41926337680292985
LTIM,0,High-Quality Compounders,2.700123747855633
M&M,0,High-Quality Compounders,0.7906017285336328
MARUTI,0,High-Quality Compounders,0.36569321359517826
MOTHERSON,0,High-Quality Compounders,0.5681569446664726
NAUKRI,0,High-Quality Compounders,1.125041423247842
NESTLEIND,0,High-Quality Compounders,0.5582639132530682
NHPC,0,High-Quality Compounders,1.7042082229122908
NTPC,0,High-Quality Compounders,0.5218764143111142
ONGC,0,High-Quality Compounders,0.5654765668843921
PFC,2,Value Cyclicals,1.5650481050022818
PIDILITIND,0,High-Quality Compounders,0.2337863775839672
PNB,0,High-Quality Compounders,1.5294163892875925
POWERGRID,1,Defensive Dividend Payers,1.1504185474003443
RECLTD,1,Defensive Dividend Payers,1.9952580220788754
RELIANCE,0,High-Quality Compounders,0.20900804258918093
SBILIFE,0,High-Quality Compounders,1.9981773459787828
SBIN,4,Emerging Growth,1.918825807520651
SHREECEM,0,High-Quality Compounders,0.23711685554672537
SHRIRAMFIN,2,Value Cyclicals,1.5243441945060734
SIEMENS,0,High-Quality Compounders,0.43647985202389733
SUNPHARMA,0,High-Quality Compounders,0.5934968284290212
TATACONSUM,0,High-Quality Compounders,0.8224498896932682
TATAMOTORS,0,High-Quality Compounders,0.5640244188561774
TATAPOWER,0,High-Quality Compounders,0.7565579046359294
TATASTEEL,0,High-Quality Compounders,0.6053740634926977
TCS,0,High-Quality Compounders,0.40730822145965356
TECHM,0,High-Quality Compounders,1.3367301068842492
TITAN,0,High-Quality Compounders,1.4917412223372655
TORNTPHARM,0,High-Quality Compounders,1.0472459283902864
TRENT,4,Emerging Growth,2.4223981122453258
TVSMOTOR,0,High-Quality Compounders,1.273049793263531
