company_id,field,raw_value,issue
SBILIFE,compounded_sales_growth,TTM:            43%,No regex pattern match found
SBILIFE,compounded_profit_growth,TTM:                 18%,No regex pattern match found
SBILIFE,stock_price_cagr,1 Year:         -2%,No regex pattern match found
SBILIFE,roe,Last Year:      12%,No regex pattern match found
TCS,compounded_sales_growth,TTM:            5%,No regex pattern match found
TCS,compounded_profit_growth,TTM:                 8%,No regex pattern match found
TCS,roe,Last Year:       52%,No regex pattern match found
HDFCBANK,compounded_sales_growth,TTM:            47%,No regex pattern match found
HDFCBANK,compounded_profit_growth,TTM:                27%,No regex pattern match found
HDFCBANK,roe,Last Year:    17%,No regex pattern match found
INFY,compounded_sales_growth,TTM:            3%,No regex pattern match found
INFY,compounded_profit_growth,TTM:                 8%,No regex pattern match found
INFY,roe,Last Year:     32%,No regex pattern match found
