[High Leverage] Company: ADANIENSOL, Year: 2015 - Non-financial company debt-to-equity ratio 8.96 is > 5
[Low Interest Coverage] Company: ADANIENSOL, Year: 2015 - Interest coverage ratio 1.42 is < 1.5
[CAGR Revenue] Company: ADANIENSOL, Year: 2019 - CAGR calculation triggered flag: ZERO_BASE
[CAGR PAT] Company: ADANIENSOL, Year: 2019 - CAGR calculation triggered flag: ZERO_BASE
[CAGR EPS] Company: ADANIENSOL, Year: 2019 - CAGR calculation triggered flag: ZERO_BASE
[CAGR PAT] Company: ADANIENSOL, Year: 2020 - CAGR calculation triggered flag: TURNAROUND
[CAGR EPS] Company: ADANIENSOL, Year: 2020 - CAGR calculation triggered flag: ZERO_BASE
[OPM Mismatch] Company: ADANIENSOL, Year: 2024 - Calculated OPM 34.39% differs from sheet OPM 30.0% by >1%
[Low Interest Coverage] Company: ADANIGREEN, Year: 2017 - Interest coverage ratio 1.45 is < 1.5
[High Leverage] Company: ADANIGREEN, Year: 2018 - Non-financial company debt-to-equity ratio 7.36 is > 5
[High Leverage] Company: ADANIGREEN, Year: 2019 - Non-financial company debt-to-equity ratio 5.76 is > 5
[Low Interest Coverage] Company: ADANIGREEN, Year: 2019 - Interest coverage ratio 1.43 is < 1.5
[High Leverage] Company: ADANIGREEN, Year: 2020 - Non-financial company debt-to-equity ratio 6.31 is > 5
[Low Interest Coverage] Company: ADANIGREEN, Year: 2020 - Interest coverage ratio 1.35 is < 1.5
[High Leverage] Company: ADANIGREEN, Year: 2021 - Non-financial company debt-to-equity ratio 11.00 is > 5
[Low Interest Coverage] Company: ADANIGREEN, Year: 2021 - Interest coverage ratio 1.35 is < 1.5
[High Leverage] Company: ADANIGREEN, Year: 2022 - Non-financial company debt-to-equity ratio 20.21 is > 5
[CAGR PAT] Company: ADANIGREEN, Year: 2022 - CAGR calculation triggered flag: TURNAROUND
[CAGR EPS] Company: ADANIGREEN, Year: 2022 - CAGR calculation triggered flag: ZERO_BASE
[High Leverage] Company: ADANIGREEN, Year: 2023 - Non-financial company debt-to-equity ratio 7.42 is > 5
[CAGR PAT] Company: ADANIGREEN, Year: 2023 - CAGR calculation triggered flag: TURNAROUND
[CAGR EPS] Company: ADANIGREEN, Year: 2023 - CAGR calculation triggered flag: TURNAROUND
[High Leverage] Company: ADANIGREEN, Year: 2024 - Non-financial company debt-to-equity ratio 6.60 is > 5
[CAGR PAT] Company: ADANIGREEN, Year: 2024 - CAGR calculation triggered flag: TURNAROUND
[CAGR EPS] Company: ADANIGREEN, Year: 2024 - CAGR calculation triggered flag: TURNAROUND
[High Leverage] Company: ADANIPOWER, Year: 2013 - Non-financial company debt-to-equity ratio 9.74 is > 5
[Low Interest Coverage] Company: ADANIPOWER, Year: 2013 - Interest coverage ratio 0.69 is < 1.5
[High Leverage] Company: ADANIPOWER, Year: 2014 - Non-financial company debt-to-equity ratio 6.75 is > 5
[Low Interest Coverage] Company: ADANIPOWER, Year: 2014 - Interest coverage ratio 1.14 is < 1.5
[High Leverage] Company: ADANIPOWER, Year: 2015 - Non-financial company debt-to-equity ratio 7.82 is > 5
[Low Interest Coverage] Company: ADANIPOWER, Year: 2015 - Interest coverage ratio 1.21 is < 1.5
[High Leverage] Company: ADANIPOWER, Year: 2016 - Non-financial company debt-to-equity ratio 7.06 is > 5
[High Leverage] Company: ADANIPOWER, Year: 2017 - Non-financial company debt-to-equity ratio 17.49 is > 5
[Low Interest Coverage] Company: ADANIPOWER, Year: 2017 - Interest coverage ratio 0.39 is < 1.5
[High Leverage] Company: ADANIPOWER, Year: 2018 - Non-financial company debt-to-equity ratio 59.43 is > 5
[Low Interest Coverage] Company: ADANIPOWER, Year: 2018 - Interest coverage ratio 1.11 is < 1.5
[CAGR PAT] Company: ADANIPOWER, Year: 2018 - CAGR calculation triggered flag: BOTH_NEGATIVE
[CAGR EPS] Company: ADANIPOWER, Year: 2018 - CAGR calculation triggered flag: BOTH_NEGATIVE
[High Leverage] Company: ADANIPOWER, Year: 2019 - Non-financial company debt-to-equity ratio 6.09 is > 5
[Low Interest Coverage] Company: ADANIPOWER, Year: 2019 - Interest coverage ratio 1.31 is < 1.5
[CAGR PAT] Company: ADANIPOWER, Year: 2019 - CAGR calculation triggered flag: BOTH_NEGATIVE
[CAGR EPS] Company: ADANIPOWER, Year: 2019 - CAGR calculation triggered flag: BOTH_NEGATIVE
[High Leverage] Company: ADANIPOWER, Year: 2020 - Non-financial company debt-to-equity ratio 8.52 is > 5
[Low Interest Coverage] Company: ADANIPOWER, Year: 2020 - Interest coverage ratio 1.14 is < 1.5
[CAGR PAT] Company: ADANIPOWER, Year: 2020 - CAGR calculation triggered flag: BOTH_NEGATIVE
[CAGR EPS] Company: ADANIPOWER, Year: 2020 - CAGR calculation triggered flag: BOTH_NEGATIVE
[CAGR PAT] Company: ADANIPOWER, Year: 2022 - CAGR calculation triggered flag: TURNAROUND
[CAGR EPS] Company: ADANIPOWER, Year: 2022 - CAGR calculation triggered flag: TURNAROUND
[CAGR PAT] Company: ADANIPOWER, Year: 2023 - CAGR calculation triggered flag: TURNAROUND
[CAGR EPS] Company: ADANIPOWER, Year: 2023 - CAGR calculation triggered flag: TURNAROUND
[CAGR PAT] Company: ADANIPOWER, Year: 2024 - CAGR calculation triggered flag: TURNAROUND
[CAGR EPS] Company: ADANIPOWER, Year: 2024 - CAGR calculation triggered flag: TURNAROUND
[OPM Mismatch] Company: AXISBANK, Year: 2013 - Calculated OPM 30.58% differs from sheet OPM 1353.0% by >1%
[Low Interest Coverage] Company: AXISBANK, Year: 2013 - Interest coverage ratio 1.27 is < 1.5
[OPM Mismatch] Company: AXISBANK, Year: 2014 - Calculated OPM 31.47% differs from sheet OPM 2307.0% by >1%
[Low Interest Coverage] Company: AXISBANK, Year: 2014 - Interest coverage ratio 1.30 is < 1.5
[OPM Mismatch] Company: AXISBANK, Year: 2015 - Calculated OPM 31.36% differs from sheet OPM 3097.0% by >1%
[Low Interest Coverage] Company: AXISBANK, Year: 2015 - Interest coverage ratio 1.33 is < 1.5
[OPM Mismatch] Company: AXISBANK, Year: 2016 - Calculated OPM 32.61% differs from sheet OPM 3466.0% by >1%
[Low Interest Coverage] Company: AXISBANK, Year: 2016 - Interest coverage ratio 1.43 is < 1.5
[OPM Mismatch] Company: AXISBANK, Year: 2017 - Calculated OPM 53.45% differs from sheet OPM -5715.0% by >1%
[OPM Mismatch] Company: AXISBANK, Year: 2018 - Calculated OPM 63.12% differs from sheet OPM -10277.0% by >1%
[OPM Mismatch] Company: AXISBANK, Year: 2019 - Calculated OPM 49.39% differs from sheet OPM -5447.0% by >1%
[OPM Mismatch] Company: AXISBANK, Year: 2020 - Calculated OPM 55.98% differs from sheet OPM -9859.0% by >1%
[OPM Mismatch] Company: AXISBANK, Year: 2021 - Calculated OPM 50.12% differs from sheet OPM -2510.0% by >1%
[OPM Mismatch] Company: AXISBANK, Year: 2022 - Calculated OPM 44.47% differs from sheet OPM 3170.0% by >1%
[OPM Mismatch] Company: AXISBANK, Year: 2023 - Calculated OPM 34.16% differs from sheet OPM 13857.0% by >1%
[OPM Mismatch] Company: AXISBANK, Year: 2024 - Calculated OPM 34.69% differs from sheet OPM 11952.0% by >1%
[OPM Mismatch] Company: BAJFINANCE, Year: 2015 - Calculated OPM 32.49% differs from sheet OPM 1367.0% by >1%
[OPM Mismatch] Company: BAJFINANCE, Year: 2016 - Calculated OPM 32.25% differs from sheet OPM 1986.0% by >1%
