company_id,company_name,sector,pe,pb,ev_ebitda,5yr_median_PE,FCF_yield_pct,PE_vs_sector_median_pct,flag
ABB,Abbott India Ltd,Industrials,75.58,4.48,12.63,60.485,0.051880041574855706,160.27992789735976,Caution
BAJAJFINSV,Bajaj Finserv Ltd,Financials,15.07,6.08,39.72,47.335,-4.180016339930263,44.01285046728972,Discount
BAJFINANCE,Bajaj Finance Ltd,Financials,69.2,4.11,15.96,50.870000000000005,-3.2317922805711454,202.10280373831776,Caution
BANKBARODA,Bank of Baroda,Financials,16.89,4.15,24.7,51.62,-1.279081332956056,49.32827102803738,Discount
BEL,Bharat Electronics Ltd,Industrials,17.89,9.22,23.14,56.305,-0.09337302073000636,37.93871275580532,Discount
BHEL,"Bharat Heavy Electricals Limited
",Industrials,29.8,11.43,21.59,35.98,-0.4410671269170658,63.195843494857385,Discount
BOSCHLTD,Bosch Ltd,Consumer Discretionary,58.43,6.47,16.07,34.555,0.05908701218425355,153.74292856203132,Caution
BPCL,Bharat Petroleum Corporation Ltd,Energy,68.15,0.72,26.59,30.585,5.422883218663305,151.73104753423135,Caution
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,16.79,10.36,13.52,28.409999999999997,-3.9650923712808046,49.03621495327102,Discount
COALINDIA,Coal India Ltd,Materials,34.27,14.75,25.15,33.22,2.9991751112119767,61.61452714850773,Discount
DMART,Avenue Supermarts Ltd,Consumer Discretionary,72.53,11.71,36.84,45.655,0.00910553222430331,190.84331009077752,Caution
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,11.73,10.19,14.56,12.379999999999999,0.020845250072724943,24.925626859328517,Discount
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,15.62,13.61,19.29,21.865000000000002,0.4001945575069012,41.099855282199705,Discount
GAIL,GAIL (India) Ltd,Energy,25.84,9.54,33.07,28.259999999999998,0.28461990353382827,57.53089168429255,Discount
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,33.59,8.07,23.55,37.19,-0.10280184353453976,65.92737978410207,Discount
GRASIM,Grasim Industries Ltd,Industrials,79.35,5.68,15.23,47.49,-7.063967310949983,168.27483829922593,Caution
HAL,Hindustan Aeronautics Ltd,Industrials,71.89,3.65,8.76,53.635,0.06861811283803056,152.45467076662072,Caution
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,34.51,11.88,7.52,21.805,1.8482736240750641,67.73307163886162,Discount
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,20.83,12.38,22.57,44.31,0.006574879059013327,60.835280373831765,Discount
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,76.23,7.87,24.64,53.7,0.9056027172386589,200.57887120115777,Caution
INDUSINDBK,IndusInd Bank Ltd,Financials,8.99,3.7,28.79,56.0,-0.9664534641259643,26.255841121495326,Discount
INFY,Infosys Ltd,Information Technology,35.99,8.97,36.7,34.31,1.808627454139422,56.56137042275656,Discount
IOC,"Indian Oil Corporation
",Energy,28.61,4.24,33.71,49.11,2.794810104975634,63.69809640431927,Discount
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,60.44,5.74,32.47,45.585,0.05299874823631171,159.03170635442703,Caution
IRFC,Indian Railway Finance Corporation Ltd,Financials,9.81,3.91,16.66,36.519999999999996,0.3019460457018293,28.650700934579437,Discount
JSWENERGY,JSW Energy Ltd,Energy,24.79,9.88,35.95,37.545,-1.7705336124937798,55.19314260269398,Discount
LT,Larsen & Toubro Ltd,Industrials,30.8,2.48,16.63,24.09,1.8179837675257147,65.31650938394657,Discount
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,14.22,0.81,29.08,43.58,-0.2694648852484086,37.41612945665044,Discount
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,20.78,8.26,29.97,28.565,0.3282212496887102,54.6770161820813,Discount
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,9.54,2.38,33.39,31.5,0.6329063689949501,25.10196026838574,Discount
NAUKRI,Info Edge (India) Ltd,Communication Services,32.88,8.33,11.87,34.885000000000005,-0.026604025891463663,68.03227808814401,Discount
